name,text,class,rarity,type,cost,health,attack,durability,image
Darius Crowley,"Rush 

After this attacks and kills a minion, gain +2/+2.",Warrior,Legendary,Minion,5,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/03/darius-crowley-hd-200x286.png
Duskbat,"Battlecry:  If your hero took damage this turn, summon two 1/1 Bats.",Warlock,Common,Minion,3,2,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/duskbat-200x286.png
Duskfallen Aviana,"On each player's turn, the first card played costs (0).",Druid,Legendary,Minion,5,3,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/duskfallen-aviana-hd-200x286.png
Duskhaven Hunter,"Stealth 

Each turn this is in your hand, swap its Attack and Health.",Hunter,Rare,Minion,3,2,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/duskhaven-hunter-hd-200x286.png
Dust Devil,Windfury. Overload:  (2),Shaman,Common,Minion,1,3,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/04/dust-devil-new-200x286.png
Dyn-o-matic,Battlecry:  Deal 5 damage randomly split among all minions except Mechs.,Warrior,Rare,Minion,5,3,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Dyn-o-matic-200x283.png
E.M.P. Operative,Battlecry:  Destroy a Mech.,Neutral,Epic,Minion,5,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/emp-operative-200x286.png
Eager Underling,Deathrattle:  Give two random friendly minions +2/+2.,Warlock,Rare,Minion,4,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Eager-Underling-1-200x276.png
Eaglehorn Bow,"Whenever a Secret is revealed, gain +1 Durability.",Hunter,Rare,Weapon,3,3,,2,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/eaglehorn-bow-200x286.png
Earth Elemental,Taunt. Overload:  (3),Shaman,Epic,Minion,5,7,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/04/earth-elemental-new-200x286.png
Earth Shock,"Silence a minion, then deal 1 damage to it.",Shaman,Common,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/earth-shock-200x286.png
Earthen Might,"Give a minion +2/+2. If it's an Elemental, add a random Elemental to your hand.",Shaman,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/earthen-might-200x286.png
Earthen Ring Farseer,Battlecry: Restore 3 Health.,Neutral,Common,Minion,3,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/earthen-ring-farseer-200x286.png
Eccentric Scribe,Deathrattle:  Summon four 1/1 Vengeful Scrolls.,Neutral,Common,Minion,6,6,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Eccentric-Scribe-200x280.png
Ectomancy,Summon copies of all Demons you control.,Warlock,Epic,Spell,6,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/ectomancy-200x286.png
Edwin VanCleef,Combo: Gain +2/+2 for each card played earlier this turn.,Rogue,Legendary,Minion,3,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/edwin-vancleef-200x286.png
Electra Stormsurge,Battlecry:  Your next spell this turn casts twice.,Shaman,Legendary,Minion,3,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/electra-stormsurge-1-200x286.png
Electrowright,"Battlecry:  If you're holding a spell that costs (5) or more, gain +1/+1.",Neutral,Common,Minion,3,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/electrowright-200x286.png
Elemental Evocation,The next Elemental you play this turn costs (2) less.,Mage,Common,Spell,0,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/elemental-evocation-card-art-1-200x286.png
Elementary Reaction,Draw a card. Copy it if you played an Elemental last turn.,Shaman,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/elementary-reaction-200x286.png
Elven Archer,Battlecry: Deal 1 damage.,Neutral,Free,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/elven-archer-200x286.png
Emberscale Drake,"Battlecry:  If you're holding a Dragon, gain 5 Armor.",Warrior,Rare,Minion,5,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/emberscale-drake-card-art-200x286.png
Emeriss,Battlecry:  Double the Attack and Health of all minions in your hand.,Hunter,Legendary,Minion,10,8,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/03/emeriss-hd-200x286.png
Emperor Cobra,Poisonous,Neutral,Rare,Minion,3,2,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/emperor-cobra-1-200x286.png
Equality,Change the Health of ALL minions to 1.,Paladin,Rare,Spell,4,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/equality-2-200x272.png
Eternium Rover,"Whenever this minion takes damage, gain 2 Armor.",Warrior,Common,Minion,1,1,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/eternium-rover-200x286.png
Ethereal Arcanist,"If you control a Secret at the end of your turn, gain +2/+2.",Mage,Rare,Minion,4,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/ethereal-arcanist-200x286.png
Eureka!,Summon a copy of a random minion from your hand.,Shaman,Rare,Spell,6,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Eureka-200x279.png
EVIL Cable Rat,Battlecry:  Add a  Lackey  to your hand.,Neutral,Common,Minion,2,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/EVIL-Cable-Rat-200x279.png
EVIL Conscripter,Deathrattle:  Add a  Lackey  to your hand.,Priest,Common,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/evil-conscriptor-200x276.png
EVIL Genius,Battlecry:  Destroy a friendly minion. Add 2 random  Lackeys  to your hand.,Warlock,Common,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/evil-genius-200x276.png
EVIL Miscreant,Combo:  Add two random  Lackeys  to your hand.,Rogue,Common,Minion,3,1,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/EVIL-Miscreant-200x279.png
Eviscerate,Deal 2 damage. Combo: Deal 4 damage instead.,Rogue,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/eviscerate-200x286.png
Execute,Destroy a damaged enemy minion.,Warrior,Free,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/execute2-200x286.png
Exotic Mountseller,"Whenever you cast a spell, summon a random 3-Cost Beast.",Neutral,Rare,Minion,7,5,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Exotic-Mountseller-200x276.png
Explodinator,Battlecry:  Summon two 0/2 Goblin Bombs.,Neutral,Common,Minion,4,3,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/explodinator-200x286.png
Explosive Shot,Deal 5 damage to a minion and 2 damage to adjacent ones.,Hunter,Rare,Spell,5,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/explosive-shot-200x286.png
Explosive Trap,"Secret: When your hero is attacked, deal 2 damage to all enemies.",Hunter,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/explosive-trap-200x286.png
Extra Arms,Give a minion +2/+2. Add 'More Arms!' to your hand that gives +2/+2.,Priest,Rare,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/extra-arms-200x286.png
Eye for an Eye,"Secret: When your hero takes damage, deal that much damage to the enemy hero.",Paladin,Common,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/eye-for-an-eye-200x286.png
Face Collector,"Echo 

 Battlecry:  Add a random Legendary minion to your hand.",Rogue,Legendary,Minion,3,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/03/face-collector-200x287.png
Faceless Manipulator,Battlecry:  Choose a minion and become a copy of it.,Neutral,Epic,Minion,5,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/faceless-manipulator-200x286.png
Faceless Rager,Battlecry:  Copy a friendly minion's Health.,Neutral,Common,Minion,3,5,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Faceless-Rager-200x280.png
Faerie Dragon,Can't be targeted by Spells or Hero Powers.,Neutral,Common,Minion,2,3,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/faerie-dragon-200x286.png
Faithful Lumi,Battlecry:  Give a friendly Mech +1/+1.,Neutral,Common,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/faithful-lumi-200x286.png
Fan of Knives,Deal 1 damage to all enemy minions. Draw a card.,Rogue,Free,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/fan-of-knives-200x286.png
Far Sight,Draw a card. That card costs (3) less.,Shaman,Epic,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/far-sight-200x286.png
Farraki Battleaxe,Overkill:  Give a minion in your hand +2/+2.,Paladin,Rare,Weapon,5,3,,3,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/farraki-battleaxe-card-art-200x286.png
Fel Lord Betrug,"Whenever you draw a minion, summon a copy with  Rush  that dies at end of turn.",Warlock,Legendary,Minion,8,5,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Fel-Lord-Betrug-1-200x276.png
Blood Imp,"Stealth. At the end of your turn, give another random friendly minion +1 Health.",Warlock,Common,Minion,1,0,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/blood-imp-200x286.png
Blood Knight,Battlecry: All minions lose Divine Shield. Gain +3/+3 for each Shield lost.,Neutral,Epic,Minion,3,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/blood-knight-200x286.png
Blood Troll Sapper,"After a friendly minion dies, deal 2 damage to the enemy hero.",Warlock,Common,Minion,7,5,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/blood-troll-sapper-card-art-200x286.png
Blood Witch,"At the start of your turn, deal 1 damage to your hero.",Warlock,Rare,Minion,4,3,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/blood-witch-200x286.png
Bloodclaw,Battlecry:  Deal 5 damage to your hero.,Paladin,Common,Weapon,1,2,,2,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/bloodclaw-200x286.png
Bloodfen Raptor,,Neutral,Free,Minion,2,3,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/bloodfen-raptor-200x286.png
Bloodlust,Give your minions +3 Attack this turn.,Shaman,Free,Spell,5,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/bloodlust-200x286.png
Bloodmage Thalnos,Spell Damage +1. Deathrattle: Draw a card.,Neutral,Legendary,Minion,2,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/bloodmage-thalnos-200x286.png
Bloodsail Corsair,Battlecry: Remove 1 Durability from your opponent's weapon.,Neutral,Rare,Minion,1,1,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/bloodsail-corsair-200x286.png
Bloodsail Howler,"Rush 

 Battlecry:  Gain +1/+1 for each other Pirate you control.",Rogue,Rare,Minion,2,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/bloodsail-howler-card-art-200x286.png
Bloodsail Raider,Battlecry: Gain Attack equal to the Attack of your weapon.,Neutral,Common,Minion,2,2,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/bloodsail-raider-200x286.png
Bloodscalp Strategist,"Battlecry:  If you have a weapon equipped,  Discover  a spell.",Hunter,Rare,Minion,3,2,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/bloodscalp-strategist-card-art-200x286.png
Bluegill Warrior,Charge,Neutral,Free,Minion,2,2,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/bluegill-warrior-200x286.png
Bog Slosher,Battlecry:  Return a friendly minion to your hand and give it +2/+2.,Shaman,Rare,Minion,3,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/bog-slosher-card-art-200x286.png
Bogshaper,"Whenever you cast a spell, draw a minion from your deck.",Shaman,Epic,Minion,7,4,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/bogshaper-200x286.png
Bomb Toss,Deal 2 damage. Summon a 0/2 Goblin Bomb.,Hunter,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/bomb-toss-200x286.png
Bonfire Elemental,"Battlecry:  If you played an Elemental last turn, draw a card.",Mage,Rare,Minion,5,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/bonfire-elemental-hd-200x286.png
Book of Specters,Draw 3 cards. Discard any spells drawn.,Mage,Epic,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/book-of-specters-hd-200x286.png
Boommaster Flark,Battlecry:  Summon four 0/2 Goblin Bombs.,Hunter,Legendary,Minion,7,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/boommaster-flark-200x286.png
Booty Bay Bodyguard,Taunt,Neutral,Free,Minion,5,5,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/booty-bay-bodyguard-200x286.png
Booty Bay Bookie,Battlecry:  Give your opponent a Coin.,Neutral,Rare,Minion,2,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/booty-bay-bookie-card-art-200x286.png
Boulderfist Ogre,,Neutral,Free,Minion,6,6,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/boulderfist-ogre-200x286.png
Brainstormer,Battlecry:  Gain +1 Health for each spell in your hand.,Neutral,Common,Minion,3,3,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/brainstormer-200x286.png
Brawl,Destroy all minions except one. (chosen randomly),Warrior,Epic,Spell,5,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/brawl-200x286.png
Bronze Gatekeeper,"Magnetic 

 Taunt",Neutral,Common,Minion,3,1,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/bronze-gatekeeper-200x286.png
Bronze Herald,Deathrattle:  Add two 4/4 Dragons to your hand.,Paladin,Common,Minion,3,3,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Bronze-Herald-1-200x276.png
Bull Dozer,Divine Shield,Neutral,Common,Minion,9,9,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/bull-dozer-200x286.png
Burly Shovelfist,Rush,Neutral,Common,Minion,9,9,9,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Burly-Shovelfist-200x280.png
"Bwonsamdi, the Dead",Battlecry:  Draw 1-Cost minions from your deck until your hand is full.,Priest,Legendary,Minion,7,7,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/bwonsamdi-the-dead-card-art-200x286.png
Cabal Shadow Priest,Battlecry: Take control of an enemy minion that has 2 or less Attack.,Priest,Epic,Minion,6,4,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cabal-shadow-priest-200x286.png
Cairne Bloodhoof,Deathrattle: Summon a 4/5 Baine Bloodhoof.,Neutral,Legendary,Minion,6,4,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cairne-bloodhoof-200x286.png
Call of the Void,Add a random Demon to your hand.,Warlock,Common,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/09/call-of-the-void-200x286.png
Call to Adventure,Draw the lowest Cost minion from your deck. Give it +2/+2.,Paladin,Rare,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Call-to-Adventure-200x276.png
Cannon Barrage,Deal 3 damage to a random enemy. Repeat for each of your Pirates.,Rogue,Epic,Spell,6,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/cannon-barrage-card-art-200x286.png
Captain Greenskin,,Neutral,Legendary,Minion,5,5,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/captain-greenskin-200x286.png
Captain Hooktusk,Battlecry:  Summon 3 Pirates from your deck. Give them  Rush.,Rogue,Legendary,Minion,8,6,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/captain-hooktusk-card-art-200x286.png
Carrion Drake,"Battlecry:  If a minion died this turn, gain  Poisonous.",Hunter,Rare,Minion,5,3,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/carrion-drake-200x286.png
Cathedral Gargoyle,"Battlecry:  If you're holding a Dragon, gain  Taunt  and  Divine Shield .",Paladin,Epic,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/cathedral-gargoyle-200x286.png
Catrina Muerte,"At the end of your turn, summon a friendly minion that died this game.",Priest,Legendary,Minion,8,6,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Catrina-Muerte-200x276.png
Cauldron Elemental,Your other Elementals have +2 Attack.,Neutral,Common,Minion,8,7,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/cauldron-elemental-200x286.png
Celestial Emissary,Battlecry:  Your next spell this turn has  Spell Damage +2.,Mage,Rare,Minion,2,2,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Celestial-Emissary-200x277.png
Cenarius,Choose One  - Give your other minions +2/+2; or Summon two 2/2 Treants with  Taunt.,Druid,Legendary,Minion,9,5,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/cenarius-200x286.png
Chameleos,"Each turn this is in your hand, transform it into a card your opponent is holding.",Priest,Legendary,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/03/chameleos-hd-200x286.png
Charge,Give a friendly minion Charge. It can't attack heroes this turn.,Warrior,Free,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/charge2-200x286.png
Cheap Shot,"Echo 

Deal 2 damage to a minion.",Rogue,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/03/cheap-shot-hd-200x286.png
Cheaty Anklebiter,"Lifesteal 

 Battlecry:  Deal 2 damage.",Neutral,Common,Minion,2,2,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/cheaty-anklebiter-card-art-200x286.png
Chef Nomi,"Battlecry:  If your deck is empty, summon six 6/6 Greasefire Elementals.",Neutral,Legendary,Minion,7,6,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Chef-Nomi-200x287.png
Chief Inspector,Battlecry:  Destroy all enemy  Secrets.,Neutral,Rare,Minion,5,4,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/chief-inspector-200x286.png
Dark Iron Dwarf,Battlecry: Give a minion +2 Attack this turn.,Neutral,Common,Minion,4,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/dark-iron-dwarf-200x286.png
Dark Possession,Deal 2 damage to a friendly character.  Discover  a Demon.,Warlock,Rare,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/Dark-Possession-200x286.png
Darkest Hour,"Destroy all friendly minions. For each one, summon a random minion from your deck.",Warlock,Epic,Spell,6,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Darkest-Hour-200x284.png
Darkmire Moonkin,Spell Damage +2,Neutral,Common,Minion,7,2,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/darkmire-moonkin-200x286.png
Darkscale Healer,Battlecry: Restore 2 Health to all friendly characters.,Neutral,Free,Minion,5,4,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/darkscale-healer-200x286.png
Dead Ringer,Deathrattle:  Draw a  Deathrattle  minion from your deck.,Priest,Common,Minion,2,2,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/dead-ringer-200x286.png
Deadly Arsenal,Reveal a random weapon in your deck. Deal damage equal to its Attack to all minions.,Warrior,Epic,Spell,6,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/deadly-arsenal-hd-200x286.png
Deadly Poison,Give your weapon +2 Attack.,Rogue,Free,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/deadly-poison-200x286.png
Deadly Shot,Destroy a random enemy minion.,Hunter,Common,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/deadly-shot-200x286.png
Deathweb Spider,"Battlecry:  If your hero took damage this turn, gain  Lifesteal.",Warlock,Epic,Minion,5,4,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/deathweb-spider-200x286.png
Deathwing,Battlecry:  Destroy all other minions and discard your hand.,Neutral,Legendary,Minion,10,12,12,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/deathwing-200x286.png
Defender of Argus,Battlecry: Give adjacent minions +1/+1 and Taunt.,Neutral,Rare,Minion,4,2,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/defender-of-argus-200x286.png
Defias Ringleader,Combo: Summon a 2/1 Defias Bandit.,Rogue,Common,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/defias-ringleader-200x286.png
Demolisher,"At the start of your turn, deal 2 damage to a random enemy.",Neutral,Rare,Minion,3,1,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/demolisher-200x286.png
Demonbolt,Destroy a minion. Costs (1) less for each minion you control.,Warlock,Common,Spell,8,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/demonbolt-card-art-200x286.png
Demonfire,"Deal 2 damage to a minion. If it’s a friendly Demon, give it +2/+2 instead.",Warlock,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/demonfire-200x286.png
Demonic Project,Each player transforms a random minion in their hand into a Demon.,Warlock,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/demonic-project-200x286.png
Dendrologist,"Battlecry:  If you control a Treant,  Discover  a spell.",Druid,Rare,Minion,2,2,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/dendrologist-200x286.png
Deranged Doctor,Deathrattle:  Restore 8 Health to your hero.,Neutral,Common,Minion,8,8,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/deranged-doctor-200x286.png
Desperate Measures,"Twinspell 

Cast a random Paladin Secret",Paladin,Rare,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Desperate-Measure-200x276.png
Devastate,Deal 4 damage to a damaged minion.,Warrior,Common,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/devastate-card-art-200x286.png
Dimensional Ripper,Summon 2 copies of a minion in your deck.,Warrior,Rare,Spell,10,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Dimensional-Ripper-200x276.png
Dire Frenzy,Give a Beast +3/+3. Shuffle 3 copies into your deck with +3/+3.,Hunter,Common,Spell,4,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/dire-frenzy-200x286.png
Dire Wolf Alpha,Adjacent minions have +1 Attack.,Neutral,Common,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/dire-wolf-alpha-200x286.png
Divine Hymn,Restore 6 Health to all friendly characters.,Priest,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/divine-hymn-200x286.png
Divine Spirit,Double a minion's Health.,Priest,Free,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/divine-spirit-200x286.png
Dollmaster Dorian,"Whenever you draw a minion, summon a 1/1 copy of it.",Neutral,Legendary,Minion,5,2,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/dollmaster-dorian-hd-200x286.png
Doomhammer,"Windfury, Overload: (2)",Shaman,Epic,Weapon,5,2,,8,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/doomhammer-200x286.png
Doomsayer,"At the start of your turn, destroy ALL minions.",Neutral,Epic,Minion,2,0,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/doomsayer1-200x286.png
Doubling Imp,Battlecry:  Summon a copy of this minion.,Warlock,Common,Minion,3,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/doubling-imp-200x286.png
Dozing Marksman,Has +4 Attack while damaged.,Neutral,Common,Minion,2,0,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/dozing-marksman-card-art-200x286.png
"Dr. Boom, Mad Genius","Battlecry:  For the rest of the game, your Mechs have  Rush.",Warrior,Legendary,Hero,7,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/dr-boom-mad-genius-200x286.png
Dr. Boom's Scheme,"Gain 1 Armor.

 (Upgrades each turn!)",Warrior,Common,Spell,4,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Dr-Booms-Scheme-200x284.png
Dr. Morrigan,Deathrattle:  Swap this with a minion from your deck.,Warlock,Legendary,Minion,8,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Dr-Morrigan-200x285.png
Dragon Roar,Add 2 random Dragons to your hand.,Warrior,Common,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/dragon-roar-card-art-200x286.png
Dragon Speaker,Battlecry:  Give all Dragons in your hand +3/+3.,Paladin,Epic,Minion,5,3,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Dragon-Speaker-1-200x276.png
Dragonling Mechanic,Battlecry: Summon a 2/1 Mechanical Dragonling.,Neutral,Free,Minion,4,2,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/dragonling-mechanic-200x286.png
Dragonmaw Scorcher,Battlecry:  Deal 1 damage to all other minions.,Neutral,Common,Minion,5,3,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/dragonmaw-scorcher-card-art-200x286.png
Drain Life,Deal 2 damage. Restore 2 Health to your hero.,Warlock,Free,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/drain-life-200x286.png
Drakkari Trickster,Battlecry:  Give each player a copy of a random card from their opponent's deck.,Neutral,Epic,Minion,3,3,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/drakkari-trickster-card-art-200x286.png
Dread Corsair,Taunt. Costs (1) less per Attack of your weapon.,Neutral,Common,Minion,4,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/dread-corsair-200x286.png
Dread Infernal,Battlecry: Deal 1 damage to ALL other characters.,Warlock,Free,Minion,6,6,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/dread-infernal-200x286.png
Dreampetal Florist,"At the end of your turn, reduce the Cost of a random minion in your hand by (7).",Druid,Epic,Minion,7,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Dreampetal-Florist-200x281.png
Dreamway Guardians,Summon two 1/2 Dryads with  Lifesteal .,Druid,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Dreamway-Guardians-200x276.png
Acornbearer,Deathrattle:  Add two 1/1 Squirrels into your hand.,Druid,Common,Minion,1,2,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Acornbearer-200x276.png
Druid of the Claw,Choose One  - Transform into a 4/4 with  Charge;  or a 4/6 with  Taunt.,Druid,Common,Minion,5,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/druid-of-the-claw-hd-200x286.png
Druid of the Scythe,Choose One:  Transform into a 4/2 with  Rush  or a 2/4 with  Taunt .,Druid,Common,Minion,3,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/druid-of-the-scythe-hd-200x286.png
